Time(s),HeartRate(1/min),OxygenSaturation,MeanArterialPressure(mmHg),CardiacOutput(mL/min)
0.00,72.000000,0.974125,95.323418,5785.895505
0.02,72.000000,0.974125,95.323418,5785.895505
0.04,72.000000,0.974125,95.323418,5785.895505
0.06,72.000000,0.974125,95.323418,5785.895505
0.08,72.000000,0.974125,95.323418,5785.895505
0.10,72.000000,0.974125,95.323418,5785.895505
0.12,72.000000,0.974125,95.323418,5785.895505
0.14,72.000000,0.974125,95.323418,5785.895505
0.16,72.000000,0.974125,95.323418,5785.895505
0.18,72.000000,0.974125,95.323418,5785.895505
0.20,72.000000,0.974125,95.323418,5785.895505
0.22,72.000000,0.974125,95.323418,5785.895505
0.24,72.000000,0.974125,95.323418,5785.895505
0.26,72.000000,0.974125,95.323418,5785.895505
0.28,72.000000,0.974125,95.323418,5785.895505
0.30,72.000000,0.974125,95.323418,5785.895505
0.32,72.000000,0.974125,95.323418,5785.895505
0.34,72.000000,0.974125,95.323418,5785.895505
0.36,72.000000,0.974125,95.323418,5785.895505
0.38,72.000000,0.974125,95.323418,5785.895505
0.40,72.002284,0.974125,95.325413,5785.965975
0.42,72.002284,0.974125,95.325413,5785.965975
0.44,72.002284,0.974125,95.325413,5785.965975
0.46,72.002284,0.974125,95.325413,5785.965975
0.48,72.002284,0.974125,95.325413,5785.965975
0.50,72.002284,0.974121,95.325413,5785.965975
0.52,72.002284,0.974114,95.325413,5785.965975
0.54,72.002284,0.974106,95.325413,5785.965975
0.56,72.002284,0.974099,95.325413,5785.965975
0.58,72.002284,0.974092,95.325413,5785.965975
0.60,72.002284,0.974086,95.325413,5785.965975
0.62,72.002284,0.974081,95.325413,5785.965975
0.64,72.002284,0.974077,95.325413,5785.965975
0.66,72.002284,0.974074,95.325413,5785.965975
0.68,72.002284,0.974071,95.325413,5785.965975
0.70,72.002284,0.974069,95.325413,5785.965975
0.72,72.002284,0.974067,95.325413,5785.965975
0.74,72.002284,0.974065,95.325413,5785.965975
0.76,72.002284,0.974063,95.325413,5785.965975
0.78,72.002284,0.974062,95.325413,5785.965975
0.80,72.002284,0.974062,95.325413,5785.965975
0.82,72.002284,0.974062,95.325413,5785.965975
0.84,72.002284,0.974062,95.325413,5785.965975
0.86,72.002284,0.974062,95.325413,5785.965975
0.88,72.002284,0.974062,95.325413,5785.965975
0.90,72.002284,0.974062,95.325413,5785.965975
0.92,72.002284,0.974062,95.325413,5785.965975
0.94,72.002284,0.974062,95.325413,5785.965975
0.96,72.002284,0.974062,95.325413,5785.965975
0.98,72.002284,0.974062,95.325413,5785.965975
1.00,72.002284,0.974062,95.325413,5785.965975
1.02,72.002284,0.974062,95.325413,5785.965975
1.04,72.002284,0.974062,95.325413,5785.965975
1.06,72.002284,0.974062,95.325413,5785.965975
1.08,72.002284,0.974062,95.325413,5785.965975
1.10,72.002284,0.974062,95.325413,5785.965975
1.12,72.002284,0.974062,95.325413,5785.965975
1.14,72.002284,0.974062,95.325413,5785.965975
1.16,72.002284,0.974062,95.325413,5785.965975
1.18,72.002284,0.974062,95.325413,5785.965975
1.20,72.002284,0.974062,95.325413,5785.965975
1.22,72.002284,0.974062,95.325413,5785.965975
1.24,72.004456,0.974062,95.330539,5786.797873
1.26,72.004456,0.974062,95.330539,5786.797873
1.28,72.004456,0.974062,95.330539,5786.797873
1.30,72.004456,0.974062,95.330539,5786.797873
1.32,72.004456,0.974062,95.330539,5786.797873
1.34,72.004456,0.974057,95.330539,5786.797873
1.36,72.004456,0.974050,95.330539,5786.797873
1.38,72.004456,0.974042,95.330539,5786.797873
1.40,72.004456,0.974034,95.330539,5786.797873
